Symbol,Company,Market Cap,% Change,Volume,Revenue
ARW,"Arrow Electronics, Inc.",6.27B,-0.08%,"351,538",28.49B
BMI,"Badger Meter, Inc.",6.19B,-3.92%,"189,799",803.82M
SRAD,Sportradar Group AG,6.19B,-0.62%,"400,967",1.17B
TSEM,Tower Semiconductor Ltd.,6.11B,1.05%,"804,225",1.40B
NXT,Nextracker Inc.,5.97B,-2.12%,"3,254,114",2.80B
ASTS,"AST SpaceMobile, Inc.",5.90B,2.78%,"11,935,887",2.50M
SOUN,"SoundHound AI, Inc.",5.86B,-3.41%,"64,819,881",67.30M
LFUS,"Littelfuse, Inc.",5.83B,-0.71%,"110,329",2.20B
VNT,Vontier Corporation,5.80B,-0.08%,"475,872",2.99B
SITM,SiTime Corporation,5.78B,-3.65%,"127,135",176.99M
LYFT,"Lyft, Inc.",5.72B,1.47%,"8,461,335",5.46B
QTWO,"Q2 Holdings, Inc.",5.69B,-0.59%,"489,489",675.54M
QXO,"QXO, Inc.",5.62B,-1.79%,"1,990,467",56.84M
FRSH,Freshworks Inc.,5.54B,1.44%,"4,310,070",685.96M
NSIT,"Insight Enterprises, Inc.",5.52B,-0.19%,"269,927",8.87B
INGM,Ingram Micro Holding Corporation,5.48B,2.23%,"377,049",47.66B
ACIW,"ACI Worldwide, Inc.",5.47B,-0.59%,"485,375",1.62B
CRUS,"Cirrus Logic, Inc.",5.39B,0.33%,"671,168",1.91B
WK,Workiva Inc.,5.37B,-3.07%,"605,330",705.44M
INTA,"Intapp, Inc.",5.36B,-2.84%,"492,413",447.75M
NOVT,Novanta Inc.,5.35B,-0.55%,"193,220",922.75M
SAIC,Science Applications International Corporation,5.33B,-1.46%,"848,825",7.38B
QLYS,"Qualys, Inc.",5.24B,0.86%,"245,783",592.95M
TENB,"Tenable Holdings, Inc.",5.21B,-1.07%,"988,942",877.60M
CLBT,Cellebrite DI Ltd.,5.17B,1.20%,"838,995",385.17M
VRNS,"Varonis Systems, Inc.",4.98B,0.07%,"1,208,459",546.54M
BDC,Belden Inc.,4.88B,-0.15%,"165,906",2.35B
ITRI,"Itron, Inc.",4.82B,-1.14%,"290,872",2.41B
BRZE,"Braze, Inc.",4.73B,0.26%,"714,202",563.97M
AVT,"Avnet, Inc.",4.70B,-0.26%,"505,339",23.03B
PONY,Pony AI Inc.,4.60B,-1.20%,"855,320",84.33M
CAMT,Camtek Ltd.,4.57B,-3.73%,"506,565",400.63M
RELY,"Remitly Global, Inc.",4.56B,-2.25%,"1,473,467",1.18B
BOX,"Box, Inc.",4.53B,0.32%,"841,480",1.07B
SANM,Sanmina Corporation,4.53B,0.43%,"372,127",7.57B
ASAN,"Asana, Inc.",4.49B,-3.44%,"2,471,844",706.68M
IDCC,"InterDigital, Inc.",4.48B,1.24%,"224,402",721.23M
ALGM,"Allegro MicroSystems, Inc.",4.48B,-2.37%,"2,253,656",849.88M
CORZ,"Core Scientific, Inc.",4.46B,-2.20%,"7,292,968",557.68M
GDS,GDS Holdings Limited,4.43B,7.35%,"1,956,168",1.56B
ZETA,Zeta Global Holdings Corp.,4.41B,-0.96%,"2,665,830",901.40M
SLAB,Silicon Laboratories Inc.,4.40B,-4.23%,"234,603",504.98M
EEFT,"Euronet Worldwide, Inc.",4.32B,1.61%,"376,382",3.90B
ST,Sensata Technologies Holding plc,4.28B,-1.65%,"1,253,504",4.02B
AI,"C3.ai, Inc.",4.23B,-3.61%,"5,437,551",346.54M
GBTG,"Global Business Travel Group, Inc.",4.21B,-0.56%,"372,302",2.38B
PLXS,Plexus Corp.,4.13B,-0.53%,"248,683",3.95B
ASGN,ASGN Incorporated,4.08B,-0.32%,"221,591",4.19B
