Date,3_Month_Treasury_Bill_Yield,Monthly_Return,Risk_Premium
2013-07-01,0.0004,0.0425048893050816,0.042104889305081605
2013-08-01,0.0004,-0.0103997313361308,-0.010799731336130798
2013-09-01,0.0002,0.0203817110363095,0.020181711036309502
2013-10-01,0.0005,0.0553336040577596,0.0548336040577596
2013-11-01,0.0007,0.0309063765112354,0.0302063765112354
2013-12-01,0.0007,0.0302679117710216,0.0295679117710216
2014-01-01,0.0004,-0.0209390432702158,-0.0213390432702158
2014-02-01,0.0005,0.0439402790788785,0.0434402790788785
2014-03-01,0.0005,0.0,-0.0005
2014-04-01,0.0003,0.0070655849815037,0.0067655849815037
2014-05-01,0.0003,0.0375853875943132,0.0372853875943132
2014-06-01,0.0004,0.0140139208878893,0.0136139208878893
2014-07-01,0.0003,0.0216376143198848,0.021337614319884797
2014-08-01,0.0003,0.0328202159682673,0.0325202159682673
2014-09-01,0.0002,-0.0094334126823251,-0.0096334126823251
2014-10-01,0.0002,0.0204126941824542,0.0202126941824542
2014-11-01,0.0002,0.0481011367287183,0.0479011367287183
2014-12-01,0.0003,-0.0268298087590258,-0.027129808759025802
2015-01-01,0.0003,-0.030047414818483,-0.030347414818483003
2015-02-01,0.0002,0.0799502338607902,0.07975023386079019
2015-03-01,0.0003,-0.0382919784538124,-0.0385919784538124
2015-04-01,0.0002,0.0317150010988731,0.0315150010988731
2015-05-01,0.0002,0.0185534471393695,0.0183534471393695
2015-06-01,0.0002,-0.0454229374732437,-0.045622937473243697
2015-07-01,0.0003,0.0331294969748816,0.0328294969748816
2015-08-01,0.0007,-0.0551902213660945,-0.0558902213660945
2015-09-01,0.0002,-0.0181453839032215,-0.018345383903221497
2015-10-01,0.0002,0.1100457439039757,0.1098457439039757
2015-11-01,0.0012,0.0071019187275005,0.005901918727500501
2015-12-01,0.0023,-0.0257049242283512,-0.0280049242283512
2016-01-01,0.0026,-0.0322876285268467,-0.034887628526846695
2016-02-01,0.0031,-0.0065468219897577,-0.0096468219897577
2016-03-01,0.0029,0.082743149701431,0.079843149701431
2016-04-01,0.0023,-0.045469414583774,-0.047769414583774
